request_id,device_id,primary_port,vlan_id
0,2,0,1
0,2,1,1
1,0,0,2
1,0,1,2
2,2,0,2
2,2,1,2
3,3,1,2
4,4,0,2
4,4,1,2
5,1,0,3
5,1,1,3
6,4,0,3
6,4,1,3
7,3,1,3
8,0,0,3
8,0,1,3
9,1,1,4
10,0,1,4
11,2,1,4
12,3,1,4
13,1,0,4
13,1,1,4
14,2,0,4
14,2,1,4
15,0,0,4
15,0,1,4
16,4,1,4
17,4,0,4
17,4,1,4
18,0,1,5
19,1,1,5
20,1,0,5
20,1,1,5
21,4,0,5
21,4,1,5
22,0,0,6
22,0,1,6
23,1,1,6
24,2,1,6
25,1,0,6
25,1,1,6
26,2,0,6
26,2,1,6
27,2,0,7
27,2,1,7
28,4,0,7
28,4,1,7
29,1,1,7
30,1,0,8
30,1,1,8
31,2,1,8
32,3,1,8
33,2,0,8
33,2,1,8
34,0,0,8
34,0,1,8
35,3,1,9
36,0,0,9
36,0,1,9
37,4,1,9
38,2,1,10
39,3,1,10
40,4,1,10
41,2,0,10
41,2,1,10
42,0,0,10
42,0,1,10
43,2,0,11
43,2,1,11
44,0,0,11
44,0,1,11
45,2,0,12
45,2,1,12
46,1,1,12
47,3,1,12
48,1,0,13
48,1,1,13
49,0,1,13
50,1,1,14
51,3,1,14
52,1,0,14
52,1,1,14
53,4,0,14
53,4,1,14
54,0,1,14
55,0,0,14
55,0,1,14
56,0,0,15
56,0,1,15
57,3,1,15
58,2,1,16
59,3,1,16
60,2,0,16
60,2,1,16
61,0,0,16
61,0,1,16
62,1,0,17
62,1,1,17
63,1,0,19
63,1,1,19
64,2,1,19
65,3,1,19
66,4,1,19
67,2,0,19
67,2,1,19
68,0,0,20
68,0,1,20
69,1,1,20
70,2,0,20
70,2,1,20
71,4,0,20
71,4,1,20
72,1,1,21
73,3,1,21
74,4,1,21
75,2,1,22
76,4,1,22
77,2,0,22
77,2,1,22
78,0,0,22
78,0,1,22
79,1,1,23
80,1,0,23
80,1,1,23
81,0,1,23
82,2,1,23
83,2,0,23
83,2,1,23
84,1,0,24
84,1,1,24
85,0,0,24
85,0,1,24
86,2,1,24
87,1,0,25
87,1,1,25
88,4,0,25
88,4,1,25
89,2,0,26
89,2,1,26
90,1,0,27
90,1,1,27
91,4,0,27
91,4,1,27
92,3,1,27
93,4,0,28
93,4,1,28
94,2,1,28
95,3,1,28
96,0,0,28
96,0,1,28
97,1,0,29
97,1,1,29
98,0,1,29
